"","period","years","temp","foehn","per_tot_foehn","foehn_bin_perc","hosp","per_tot_hosp"
"all stations","1998-01-01",141,"9.0 [3.1]","552 [235]","100 %","10.3 %","1152 [1304]","100 %"
"Altdorf","1998-01-01",22,"10.5 [0.5]","483 [114]","13.6 %","8.0 %","594 [155]","8.0 %"
"Chur","1998-01-01",22,"10.5 [0.6]","552 [119]","15.6 %","10.9 %","1710 [424]","23.2 %"
"Davos","1998-01-07",22,"4.1 [0.6]","434 [120]","12.3 %","8.9 %","176 [110]","2.4 %"
"Lugano","2006-10-04",14,"13.1 [1.1]","440 [156]","7.9 %","8.9 %","4124 [1756]","35.5 %"
"Magadino","2006-02-15",14,"12.3 [0.6]","516 [115]","9.3 %","9.5 %","1626 [266]","14.0 %"
"Montana","1998-01-07",22,"6.4 [0.6]","530 [210]","15.0 %","9.3 %","897 [709]","12.1 %"
"Poschiavo","2008-01-23",12,"8.0 [0.5]","1123 [205]","17.3 %","19.0 %","106 [21]","0.8 %"
"Visp","2007-11-30",13,"9.4 [3.4]","541 [187]","9.0 %","11.6 %","492 [157]","3.9 %"
